gen,TP,MO,SR,TP_o,MO_o,SR_o
12,7.1058,64,4.6892,0.5534664761904762,0.02580216354669277,0.0
12,7.2232,64,1.7919,0.4684109682539683,0.027590439296234972,0.0
12,6.2511,64,2.3651,0.4701768095238095,0.0260228319324409,0.0
13,7.162,4,1.4998,0.2586765396825397,0.03357541920586178,0.6666666666666666
13,5.828205108642578,4,2.2933225631713867,0.2613108690958174,0.018799219523607514,0.6666666666666667
13,6.867661952972412,4,1.722224473953247,0.2606772414086357,0.029123083002729113,0.6666666666666667
13,7.0948,16,1.7395,0.36480087301587305,0.02736887591997508,0.33333333333333337
13,6.7457,16,1.9729,0.3662616031746032,0.02577865343073302,0.33333333333333337
13,6.744,16,8.6942,0.567873619047619,0.021377807206249422,0.33333333333333326
13,6.6024,16,8.6868,0.5654039999999999,0.021230659659195777,0.33333333333333337
13,6.6035,16,9.6323,0.5937864603174603,0.021060212591360462,0.33333333333333337
13,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
13,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
13,6.9744,64,8.6578,0.6704387619047619,0.025079866351895592,0.0
13,6.7561,64,3.9665,0.5262346825396825,0.02578396777773539,0.0
13,6.7413,64,1.8052,0.4611607619047619,0.027041270707773353,0.0
13,6.2389,64,9.4364,0.6821221587301587,0.024663015356381074,0.0
13,6.638,64,1.8631,0.46125807936507934,0.026859283213501357,0.0
13,6.2389,64,9.4233,0.6817291587301587,0.024663914027683514,0.0
13,6.8599,64,4.6896,0.5495753015873016,0.025648103092550868,0.0
13,7.1058,64,4.6892,0.5534664761904762,0.02580216354669277,0.0
13,7.238,64,3.9739,0.5341058888888889,0.02611293093763375,0.0
13,6.2511,64,2.3651,0.4701768095238095,0.0260228319324409,0.0
14,7.162,4,1.4998,0.2586765396825397,0.03357541920586178,0.6666666666666666
14,5.744700908660889,4,2.1484546661376953,0.25563936869303383,0.01855334396675242,0.6666666666666667
14,6.2389,16,8.6706,0.5591481587301587,0.02082485365278842,0.33333333333333337
14,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
14,6.6024,16,8.6868,0.5654039999999999,0.021230659659195777,0.33333333333333337
14,6.6035,16,9.6323,0.5937864603174603,0.021060212591360462,0.33333333333333337
14,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
14,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
14,6.6035,64,9.6323,0.6937864603174604,0.02482691091912145,0.0
14,6.7811,64,1.8052,0.46179250793650795,0.02708719609593788,0.0
14,6.7561,64,3.9665,0.5262346825396825,0.02578396777773539,0.0
14,6.7561,64,9.3501,0.6877426825396826,0.024918718900785963,0.0
14,6.7413,64,1.8052,0.4611607619047619,0.027041270707773353,0.0
14,6.2389,64,9.4364,0.6821221587301587,0.024663015356381074,0.0
14,6.2389,64,9.8224,0.6937021587301587,0.02463737049825372,0.0
14,6.2389,64,9.4233,0.6817291587301587,0.024663914027683514,0.0
14,6.8599,64,4.6896,0.5495753015873016,0.025648103092550868,0.0
14,7.1058,64,4.6892,0.5534664761904762,0.02580216354669277,0.0
14,6.7878,64,3.9755,0.5270078571428571,0.025803965142694157,0.0
14,6.2511,64,2.3651,0.4701768095238095,0.0260228319324409,0.0
15,5.8194,4,1.4998,0.23736542857142856,0.021732292177687598,0.6666666666666666
15,6.6129,4,1.5414,0.2512086666666667,0.0286328542253698,0.6666666666666666
15,5.744700908660889,4,2.1484546661376953,0.25563936869303383,0.01855334396675242,0.6666666666666667
15,6.2389,16,8.6706,0.5591481587301587,0.02082485365278842,0.33333333333333337
15,6.7776,16,8.3774,0.5589029523809523,0.021480674380430328,0.33333333333333326
15,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
15,5.726,16,1.6941,0.34171188888888887,0.023115846433227217,0.33333333333333337
15,6.6051,16,9.6323,0.5938118571428571,0.021061819567595768,0.33333333333333337
15,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
15,6.2389,16,9.4488,0.5824941587301588,0.020701416022276393,0.33333333333333337
15,6.5654,64,9.6269,0.6930196984126984,0.024809733889173253,0.0
15,6.776,64,8.0895,0.6502405555555555,0.025046932363775823,0.0
15,6.7811,64,1.8052,0.46179250793650795,0.02708719609593788,0.0
15,6.7561,64,3.9665,0.5262346825396825,0.02578396777773539,0.0
